"Naam,Linkedin,""(P)oliticus, (J)ournalist, (S)pin, (B)estuurder, (O)verig"",,Man/vrouw,Functie,Organisatie/aandachtsgebied,Twitter"
"Agnes Mulder,,p,CDA,v,""Tweede Kamerlid"",,http://twitter.com/AgnesMulderCDA"
"Agnes Wolbert,,p,PvdA,v,""Tweede Kamerlid"",,http://twitter.com/agneswolbert"
"Ahmed Marcouch,,p,PvdA,m,""Tweede Kamerlid"",,http://twitter.com/ahmedmarcouch"
"Albert de Vries,,p,PvdA,m,""Tweede Kamerlid"",,http://twitter.com/albvri"
"Alexander Bakker,http://www.linkedin.com/in/0alexanderbakker,j,,m,""politiek verslaggever"",""De Telegraaf"",http://twitter.com/alexanderbakker"
"Alexander Pechtold,http://www.linkedin.com/profile/view?id=38417923&authType=name&authToken=pl2H&locale=en_US&pvs=pp&trk=ppro_viewmore,p,D66,m,""Tweede Kamerlid"",,http://twitter.com/apechtold"
Algemene Rekenkamer,,o,,,,,http://twitter.com/rekenkamer
"Andre Bosman,http://www.linkedin.com/pub/andre-bosman/5/663/84b,p,VVD,m,""Tweede Kamerlid"",,http://twitter.com/andrebosman"
"Andries Knevel,http://www.linkedin.com/pub/andries-knevel/4/63b/933,j,,m,""EO"",,http://twitter.com/andriesgknevel"
"Angela de Jong,http://www.linkedin.com/profile/view?id=1006954&authType=NAME_SEARCH&authToken=yRk0&locale=en_US&srchid=9be76df9-40fa-465d-bc3e-5b62e0aa405f-0&srchindex=1&srchtotal=14&goback=%2Efps_PBCK_*1_Angela_De+Jong_*1_*1_*1_*1_*2_*1_Y_*1_*1_*1_false_1_R_true_*1_nl%3A0_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2&pvs=ps&trk=pp_profile_name_link,s,PvdA,v,persmedewerker,""PvdA Tweedekamerfractie"",http://twitter.com/angeladjong"
"Angelien Eijsink,,p,PvdA,v,""Tweede Kamerlid"",,http://twitter.com/EijsinkPvdA"
"Anne Mulder,,p,VVD,m,""Tweede Kamerlid"",,http://twitter.com/a_mulder"
"Annemarie Kas,http://www.linkedin.com/pub/annemarie-kas/b/21b/b1b,j,,v,""politiek verslaggever"",""NRC Handelsblad"",http://twitter.com/annemariekas"
"Annemarie Stordiau,http://www.linkedin.com/pub/anne-marie-stordiau/34/578/408,s,,v,Woordvoerder,""Ministerie v&j"",http://twitter.com/amstordiau"
"Anne-Wil Lucas,http://www.linkedin.com/pub/anne-wil-lucas/17/84b/a25,p,VVD,v,""Tweede Kamerlid"",,http://twitter.com/annewillucas"
"Anoushka Schut-Welkzijn,,p,VVD,v,""Tweede Kamerlid"",,http://twitter.com/AnoushkaSW"
"Ard van der Steur,http://www.linkedin.com/in/ardvandersteur,p,VVD,m,""Tweede Kamerlid"",,http://twitter.com/ardvandersteur"
"Arie Slob,,p,ChristenUnie,m,""Tweede Kamerlid"",,http://twitter.com/arieslob"
"Arno Rutte,,p,VVD,m,""Tweede Kamerlid"",,http://twitter.com/arnorutte"
"Arnold Merkies,,p,SP,m,""Tweede Kamerlid"",,http://twitter.com/amerkies"
"Arrie Vis,,p,CDA,m,""Landelijke voorzitter"",CDJA,http://twitter.com/arriejdvis"
"Astrid Oosenbrug-Blokland,,p,PvdA,v,""Tweede Kamerlid"",,http://twitter.com/AstridOosenbrug"
"Attje Kuiken,,p,PvdA,v,""Tweede Kamerlid"",,http://twitter.com/attjekuiken"
"Aukje de Vries,,p,VVD,v,""Tweede Kamerlid"",,http://twitter.com/aukjedevries"
"Bart de Liefde,http://www.linkedin.com/in/bartdeliefde,p,VVD,m,""Tweede Kamerlid"",,http://twitter.com/deliefde"
"Bart Dirks,http://www.linkedin.com/pub/bart-dirks/24/328/14,j,,m,""chef nieuws"",Volkskrant,http://twitter.com/bart_dirks"
"Bart Jan Spruyt,http://www.linkedin.com/pub/bart-jan-spruyt/7/140/759,j,,m,Columnist,""Dagelijkse Standaard"",http://twitter.com/bartjanspruyt"
"Bart Pierik,,s,Pvda,m,""Personal Assistant"", ""Staatssecretaris Mansveld"",http://twitter.com/bartpierik"
"Bart Visser,,s,,m,""Woordvoerder Minister Economische Zaken"",,http://twitter.com/B_Visser"
"Bas Heijne,http://www.linkedin.com/profile/view?id=46410257&authType=NAME_SEARCH&authToken=31Il&locale=en_US&srchid=a7427162-b8eb-4b73-952e-3dc60a4924b9-0&srchindex=1&srchtotal=5&goback=%2Efps_PBCK_*1_Bas_Heijne_*1_*1_*1_*1_*2_*1_Y_*1_*1_*1_false_1_R_true_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2&pvs=ps&trk=pp_profile_name_link,j,,m,columnist,""NRC Handelsblad"",http://twitter.com/bjheijne"
"Bas Paternotte,http://www.linkedin.com/in/baspaternotte,j,,m,journalist,""GeenStijl"",http://twitter.com/baspaternotte"
"Bas Taart,,j,,m,blogger,""Retecool"",http://twitter.com/bas_taart"
"Bas van 't Wout,,p,VVD,m,""Tweede Kamerlid"",,http://twitter.com/bvantwout"
"Ben Meindertsma,http://www.linkedin.com/pub/ben-meindertsma/1a/b4b/816,j,,m,""politiek verslaggever"",""De Vijfde Dag"",http://twitter.com/ben_meindertsma"
"Bert Heuvelman,http://www.linkedin.com/in/bertheuvelman,j,,m,samensteller,""Knevel & Van de Brink"",http://twitter.com/bertheuvelman"
"Bert Wagendorp,http://www.linkedin.com/profile/view?id=7107003&authType=name&authToken=_wbS&locale=en_US&pvs=pp&trk=ppro_viewmore,j,,m,""columnist"",  Volkskrant"",http://twitter.com/bertwagendorp"
"Bette Dam,http://www.linkedin.com/pub/bette-dam/4/484/b32,j,,v,""journalist Afghanistan"",zelfstandige,http://twitter.com/bettedam"
"Betty de Boer,http://www.linkedin.com/pub/betty-de-boer/a/b00/608,p,VVD,v,""Tweede Kamerlid"",,http://twitter.com/bgdeboer"
"Bram van Ojik,,p,Groenlinks,m,""Tweede Kamerlid"",,http://twitter.com/BramvanOjikGL"
"Brigitte van der Burg,http://www.linkedin.com/pub/brigitte-van-der-burg/8/4a/555,p,VVD,v,""Tweede Kamerlid"",,http://twitter.com/brigittevdb"
"Brusselmans,,j,,m,Blogger,""Geenstijl"",http://twitter.com/brusselmans"
Carel Kuyl,,j,,m,hoofdredacteur,Nieuwsuur,http://twitter.com/carelkuyl
"Carla Dik-Faber,,p,ChristenUnie,v,""Tweede Kamerlid"",,http://twitter.com/carladikfaber"
"Carlijn van Donselaar,,j,,v,""politiek verslaggever"" ,""Pownews"",http://twitter.com/cvandonselaar"
"Carola Schouten,,p,ChristenUnie,v,""Tweede Kamerlid"",,http://twitter.com/carolaschouten"
CDA,,o,,,,,http://twitter.com/cdavandaag
"Christel Kohlman,,s,Groenlinks,v,""Woordvoerder"",,https://twitter.com/ckohlmann"
ChristenUnie,,o,,,,,http://twitter.com/christenunie
"Cora van Nieuwenhuizen,,p,VVD,v,""Tweede Kamerlid"",,http://twitter.com/CvNieuwenhuizen"
D66,,o,,,,,http://twitter.com/d66
"Daan Bonenkamp,,s,D66,m,Woordvoerder""Fractievoorzitter D66"",,http://twitter.com/daanbonenkamp"
